Countdown Airport,7,6,5
Countdown Auckland City,8,7,4
Countdown Aviemore Drive,7,10,4
Countdown Birkenhead,8,9,4
Countdown Blockhouse Bay,7,6,2
Countdown Botany Downs,9,7,4
Countdown Browns Bay,8,10,4
Countdown Glenfield,7,6,5
Countdown Greenlane,8,9,4
Countdown Grey Lynn,9,9,3
Countdown Grey Lynn Central,8,9,6
Countdown Hauraki Corner,7,7,4
Countdown Henderson,8,10,4
Countdown Highland Park,8,8,3
Countdown Hobsonville,9,8,6
Countdown Howick,9,10,4
Countdown Kelston,8,7,4
Countdown Lincoln Road,8,10,5
Countdown Lynfield,8,8,4
Countdown Lynmall,7,8,4
Countdown Mairangi Bay,9,9,4
Countdown Mangere East,8,8,4
Countdown Mangere Mall,7,8,4
Countdown Manukau,8,8,6
Countdown Manukau Mall,8,9,4
Countdown Manurewa,8,9,4
Countdown Meadowbank,8,9,4
Countdown Meadowlands,8,8,3
Countdown Metro Albert Street,5,3,0
Countdown Metro Halsey Street,4,4,0
Countdown Milford,8,8,4
Countdown Mt Eden,7,10,5
Countdown Mt Roskill,8,9,4
Countdown Mt Wellington,9,8,4
Countdown Newmarket,7,8,3
Countdown Northcote,7,10,5
Countdown Northwest,8,8,3
Countdown Onehunga,8,8,4
Countdown Pakuranga,8,7,3
Countdown Papakura,7,7,5
Countdown Papatoetoe,9,7,3
Countdown Ponsonby,8,11,3
Countdown Pt Chevalier,8,8,5
Countdown Roselands,9,8,5
Countdown St Johns,7,7,4
Countdown St Lukes,7,7,3
Countdown Sunnynook,8,9,3
Countdown Sylvia Park,8,8,4
Countdown Takanini,8,10,5
Countdown Takapuna,7,10,3
Countdown Te Atatu,8,8,4
Countdown Te Atatu South,8,8,4
Countdown Three Kings,9,9,4
Countdown Victoria Street West,9,11,4
Countdown Westgate,9,7,6
FreshChoice Glen Eden,4,3,0
FreshChoice Half Moon Bay,5,4,0
FreshChoice Mangere Bridge,5,5,0
FreshChoice Otahuhu,4,4,0
FreshChoice Ranui,5,4,0
SuperValue Avondale,5,4,0
SuperValue Flatbush,5,5,0
SuperValue Palomino,5,5,0
SuperValue Papakura,5,5,0
SuperValue Titirangi,4,5,0
