,Mon-Thur,Fri,Sat
Countdown Airport,7,7,6
Countdown Auckland City,8,8,4
Countdown Aviemore Drive,7,8,7
Countdown Birkenhead,8,8,5
Countdown Blockhouse Bay,7,7,4
Countdown Botany Downs,8,8,5
Countdown Browns Bay,9,9,0
Countdown Glenfield,7,7,5
Countdown Greenlane,8,8,6
Countdown Grey Lynn,8,8,6
Countdown Grey Lynn Central,8,9,6
Countdown Hauraki Corner,7,7,6
Countdown Henderson,8,8,4
Countdown Highland Park,7,7,6
Countdown Hobsonville,9,9,4
Countdown Howick,9,9,4
Countdown Kelston,8,8,5
Countdown Lincoln Road,8,9,6
Countdown Lynfield,8,8,5
Countdown Lynmall,7,7,4
Countdown Mairangi Bay,8,9,6
Countdown Mangere East,8,8,4
Countdown Mangere Mall,7,7,5
Countdown Manukau,8,8,4
Countdown Manukau Mall,8,8,6
Countdown Manurewa,8,8,4
Countdown Meadowbank,8,8,5
Countdown Meadowlands,8,8,4
Countdown Metro Albert Street,5,2,0
Countdown Metro Halsey Street,4,4,0
Countdown Milford,8,8,5
Countdown Mt Eden,7,8,7
Countdown Mt Roskill,8,8,5
Countdown Mt Wellington,8,9,6
Countdown Newmarket,7,7,6
Countdown Northcote,7,8,6
Countdown Northwest,7,8,7
Countdown Onehunga,7,8,7
Countdown Pakuranga,7,7,6
Countdown Papakura,7,7,6
Countdown Papatoetoe,8,9,6
Countdown Ponsonby,8,9,6
Countdown Pt Chevalier,8,8,6
Countdown Roselands,8,9,7
Countdown St Johns,7,7,5
Countdown St Lukes,7,7,4
Countdown Sunnynook,8,8,6
Countdown Sylvia Park,8,8,5
Countdown Takanini,8,8,5
Countdown Takapuna,7,7,6
Countdown Te Atatu,7,8,6
Countdown Te Atatu South,7,8,7
Countdown Three Kings,9,9,5
Countdown Victoria Street West,9,9,6
Countdown Westgate,8,9,6
FreshChoice Glen Eden,5,1,0
FreshChoice Half Moon Bay,5,3,0
FreshChoice Mangere Bridge,5,3,0
FreshChoice Otahuhu,4,3,0
FreshChoice Ranui,5,4,0
SuperValue Avondale,5,3,0
SuperValue Flatbush,5,4,0
SuperValue Palomino,6,1,0
SuperValue Papakura,5,4,0
SuperValue Titirangi,5,2,0
